state	percentInPoverty	unemploymentRate	realGDP	percentUnhoused	homelessnessRatePer10000	medianIncome	foreignBornMedianIncome	USBornMedianIncome
Alabama	13.9	3.9	195474.7	0.038791636	3.879163558	"49,936"	"46,493"	"51,904"
California	10.6	3.7	2722838.6	0.408586901	40.85869008	"70,489"	"71,325"	"84,598"
Florida	12.4	3.8	935674.3	0.127619841	12.7619841	"54,644"	"52,773"	"61,144"
Idaho	8.1	2.4	74080.6	0.143928626	14.39286262	"58,728"	"52,782"	"61,672"
Kentucky	13.8	3.4	183804.1	0.089017887	8.901788702	"54,555"	"51,848"	"52,320"
Maryland	8.1	3.4	364169.3	0.10295887	10.29588696	"86,223"	"84,256"	"87,152"
Massachusetts	8.0	3.9	500237.2	0.029829655	2.982965517	"86,345"	"74,264"	"89,285"
New York	12.1	4.9	1402411.5	0.01649898	1.649897984	"67,274"	"66,462"	"74,640"
Ohio	12.5	2.6	591119.7	0.090300834	9.030083441	"61,633"	"57,562"	"58,711"
South Dakota	11.1	3.4	46761.6	0.119323263	11.93232634	"59,463"	"49,044"	"58,841"
Texas	12.5	3.5	1703074.3	0.093424355	9.34243548	"59,785"	"54,181"	"66,818"
Washington	7.6	3.0	544632.4	0.297497262	29.74972619	"79,726"	"79,410"	"78,593"
		4.1						
